id,value,color
Genre,,
Genre.Adventure,,
Genre.Adventure.G,5.0,#e21a00
Genre.Adventure.L,2.2,#73078e
Genre.Adventure.B,2.5,#0048ff
Genre.RPG,,
Genre.RPG.G,5.0,#e21a00
Genre.RPG.L,3.0,#73078e
Genre.RPG.B,3.3,#0048ff
Genre.Shooter,,
Genre.Shooter.G,5.0,#e21a00
Genre.Shooter.L,5.0,#73078e
Genre.Shooter.B,3.3,#0048ff
Genre.Fighting,,
Genre.Fighting.G,5.0,#e21a00
Genre.Fighting.L,0.7,#73078e
Genre.Fighting.B,1.4,#0048ff
Genre.Simulation,,
Genre.Simulation.G,5.0,#e21a00
Genre.Simulation.L,1.8,#73078e
Genre.Simulation.B,0.5,#0048ff
Genre.Action,,
Genre.Action.G,5.0,#e21a00
Genre.Action.L,1.6,#73078e
Genre.Action.B,3.5,#0048ff
